254.391, 130.396, 8.340, 12.500 False
253.974, 130.378, 8.340, 12.550 False
253.558, 130.360, 8.339, 12.600 False
253.141, 130.342, 8.339, 12.650 False
252.725, 130.324, 8.339, 12.700 False
252.308, 130.306, 8.339, 12.750 False
251.892, 130.288, 8.339, 12.800 False
251.475, 130.270, 8.338, 12.850 False
251.059, 130.252, 8.338, 12.900 False
250.642, 130.234, 8.338, 12.950 False
250.226, 130.215, 8.338, 13.000 False
249.809, 130.197, 8.338, 13.050 False
249.393, 130.179, 8.337, 13.100 False
248.976, 130.160, 8.337, 13.150 False
248.560, 130.142, 8.337, 13.200 False
248.143, 130.124, 8.337, 13.250 False
247.727, 130.105, 8.337, 13.300 False
247.310, 130.087, 8.337, 13.350 False
246.894, 130.069, 8.337, 13.400 False
246.478, 130.051, 8.336, 13.450 False
246.061, 130.033, 8.336, 13.500 False
245.645, 130.015, 8.336, 13.550 False
245.228, 129.997, 8.336, 13.600 False
244.812, 129.979, 8.336, 13.650 False
244.395, 129.961, 8.336, 13.700 False
243.979, 129.943, 8.336, 13.750 False
243.563, 129.925, 8.336, 13.800 False
243.146, 129.907, 8.335, 13.850 False
242.730, 129.890, 8.335, 13.900 False
242.313, 129.872, 8.335, 13.950 False
241.897, 129.855, 8.335, 14.000 False
241.480, 129.838, 8.335, 14.050 False
241.064, 129.820, 8.335, 14.100 False
240.648, 129.803, 8.335, 14.150 False
240.231, 129.786, 8.335, 14.200 False
239.815, 129.770, 8.335, 14.250 False
239.398, 129.753, 8.335, 14.300 False
238.982, 129.736, 8.335, 14.350 False
238.565, 129.720, 8.335, 14.400 False
238.149, 129.704, 8.335, 14.450 False
237.733, 129.688, 8.335, 14.500 False
237.316, 129.672, 8.334, 14.550 False
236.900, 129.656, 8.334, 14.600 False
236.483, 129.640, 8.334, 14.650 False
236.067, 129.625, 8.334, 14.700 False
235.650, 129.609, 8.334, 14.750 False
235.234, 129.595, 8.334, 14.800 False
234.818, 129.581, 8.334, 14.850 False
234.401, 129.566, 8.334, 14.900 False
233.985, 129.552, 8.334, 14.950 False
233.568, 129.538, 8.334, 15.000 False
233.152, 129.524, 8.334, 15.050 False
232.735, 129.510, 8.334, 15.100 False
232.319, 129.497, 8.334, 15.150 False
231.902, 129.484, 8.334, 15.200 False
231.486, 129.471, 8.334, 15.250 False
231.069, 129.458, 8.334, 15.300 False
230.653, 129.445, 8.334, 15.350 False
230.236, 129.432, 8.334, 15.400 False
229.820, 129.420, 8.334, 15.450 False
229.403, 129.408, 8.334, 15.500 False
228.987, 129.396, 8.334, 15.550 False
228.570, 129.384, 8.334, 15.600 False
228.154, 129.373, 8.334, 15.650 False
227.737, 129.361, 8.334, 15.700 False
227.321, 129.350, 8.334, 15.750 False
226.904, 129.339, 8.334, 15.800 False
226.487, 129.328, 8.334, 15.850 False
226.071, 129.317, 8.334, 15.900 False
225.654, 129.307, 8.333, 15.950 False
225.238, 129.297, 8.333, 16.000 False
224.821, 129.287, 8.333, 16.050 False
224.405, 129.277, 8.333, 16.100 False
223.988, 129.268, 8.333, 16.150 False
223.572, 129.258, 8.333, 16.200 False
223.155, 129.249, 8.333, 16.250 False
222.739, 129.240, 8.333, 16.300 False
222.322, 129.232, 8.333, 16.350 False
221.905, 129.223, 8.333, 16.400 False
221.489, 129.215, 8.333, 16.450 False
221.072, 129.207, 8.333, 16.500 False
220.656, 129.199, 8.333, 16.550 False
220.239, 129.192, 8.333, 16.600 False
219.822, 129.184, 8.333, 16.650 False
219.406, 129.177, 8.333, 16.700 False
218.989, 129.170, 8.333, 16.750 False
218.573, 129.163, 8.333, 16.800 False
218.156, 129.156, 8.333, 16.850 False
217.739, 129.150, 8.333, 16.900 False
217.323, 129.144, 8.333, 16.950 False
216.906, 129.137, 8.333, 17.000 False
216.489, 129.132, 8.333, 17.050 False
216.073, 129.126, 8.333, 17.100 False
215.656, 129.122, 8.333, 17.150 False
215.240, 129.117, 8.333, 17.200 False
214.823, 129.112, 8.333, 17.250 False
214.406, 129.108, 8.333, 17.300 False
213.990, 129.103, 8.333, 17.350 False
213.573, 129.099, 8.333, 17.400 False
213.156, 129.096, 8.333, 17.450 False
212.740, 129.092, 8.333, 17.500 False
212.323, 129.089, 8.333, 17.550 False
211.906, 129.085, 8.333, 17.600 False
211.490, 129.082, 8.333, 17.650 False
211.073, 129.079, 8.333, 17.700 False
210.656, 129.077, 8.333, 17.750 False
210.240, 129.074, 8.333, 17.800 False
209.823, 129.072, 8.333, 17.850 False
